# theta (deg),785 nm,790 nm,795 nm,800 nm,805 nm,810 nm,815 nm,820 nm,825 nm,830 nm,835 nm,840 nm,845 nm,850 nm
1.000000000000000000e+01,4.825909999999999922e-01,4.615139999999999798e-01,4.514940000000000064e-01,4.477740000000000054e-01,4.413540000000000241e-01,3.906930000000000125e-01,3.098549999999999915e-01,2.861870000000000247e-01,3.131129999999999747e-01,3.516690000000000094e-01,4.097080000000000166e-01,4.737339999999999884e-01,5.181999999999999940e-01,5.390279999999999516e-01
1.100000000000000000e+01,5.136479999999999935e-01,4.924669999999999881e-01,4.824410000000000087e-01,4.788319999999999799e-01,4.723410000000000108e-01,4.202060000000000239e-01,3.368470000000000075e-01,3.123830000000000218e-01,3.402470000000000216e-01,3.798909999999999787e-01,4.389689999999999981e-01,5.036150000000000349e-01,5.480310000000000459e-01,5.685630000000000406e-01
1.200000000000000000e+01,5.412829999999999586e-01,5.201230000000000020e-01,5.101489999999999636e-01,5.066640000000000033e-01,5.001419999999999755e-01,4.469029999999999947e-01,3.616099999999999870e-01,3.365139999999999798e-01,3.650979999999999781e-01,4.055599999999999761e-01,4.653340000000000254e-01,5.302630000000000399e-01,5.744350000000000289e-01,5.946069999999999967e-01
1.300000000000000000e+01,5.659849999999999604e-01,5.449359999999999760e-01,5.350549999999999473e-01,5.316999999999999504e-01,5.251799999999999802e-01,4.711270000000000180e-01,3.843659999999999854e-01,3.587659999999999738e-01,3.879000000000000226e-01,4.289669999999999872e-01,4.891780000000000017e-01,5.541430000000000522e-01,5.979320000000000190e-01,6.177070000000000061e-01
1.400000000000000000e+01,5.881659999999999666e-01,5.672949999999999937e-01,5.575350000000000028e-01,5.543099999999999694e-01,5.478129999999999944e-01,4.931780000000000053e-01,4.053209999999999869e-01,3.793239999999999945e-01,4.088669999999999805e-01,4.503719999999999946e-01,5.108209999999999695e-01,5.756400000000000405e-01,6.189540000000000042e-01,6.383130000000000193e-01
1.500000000000000000e+01,6.081699999999999884e-01,5.875240000000000462e-01,5.779039999999999733e-01,5.748060000000000391e-01,5.683500000000000218e-01,5.133170000000000233e-01,4.246630000000000127e-01,3.983550000000000146e-01,4.281949999999999923e-01,4.700050000000000061e-01,5.305400000000000116e-01,5.950769999999999671e-01,6.378530000000000033e-01,6.567880000000000384e-01
1.600000000000000000e+01,6.262839999999999518e-01,6.058959999999999901e-01,5.964289999999999869e-01,5.934570000000000123e-01,5.870530000000000470e-01,5.317699999999999649e-01,4.425600000000000089e-01,4.160079999999999889e-01,4.460569999999999813e-01,4.880639999999999978e-01,5.485670000000000268e-01,6.127230000000000176e-01,6.549190000000000289e-01,6.734299999999999731e-01
1.700000000000000000e+01,6.427530000000000188e-01,6.226439999999999753e-01,6.133380000000000498e-01,6.104859999999999731e-01,6.041429999999999856e-01,5.487279999999999935e-01,4.591569999999999818e-01,4.324189999999999978e-01,4.626029999999999864e-01,5.047249999999999792e-01,5.651040000000000507e-01,6.288059999999999761e-01,6.703989999999999672e-01,6.884909999999999641e-01
1.800000000000000000e+01,6.577800000000000313e-01,6.379660000000000331e-01,6.288240000000000496e-01,6.260869999999999491e-01,6.198110000000000008e-01,5.643590000000000551e-01,4.745849999999999791e-01,4.477079999999999949e-01,4.779669999999999752e-01,5.201339999999999852e-01,5.803220000000000045e-01,6.435180000000000344e-01,6.844949999999999646e-01,7.021760000000000224e-01
1.900000000000000000e+01,6.715379999999999683e-01,6.520259999999999945e-01,6.430500000000000105e-01,6.404210000000000180e-01,6.342170000000000307e-01,5.788060000000000427e-01,4.889569999999999750e-01,4.619789999999999730e-01,4.922639999999999794e-01,5.344240000000000101e-01,5.943659999999999499e-01,6.570190000000000197e-01,6.973749999999999671e-01,7.146580000000000155e-01
