# theta (deg),785 nm,790 nm,795 nm,800 nm,805 nm,810 nm,815 nm,820 nm,825 nm,830 nm,835 nm,840 nm,845 nm,850 nm
7.600000000000000000e+01,8.725389999999999535e-01,8.616840000000000055e-01,8.569419999999999815e-01,8.561269999999999714e-01,8.522650000000000503e-01,8.091840000000000144e-01,7.363560000000000105e-01,7.123850000000000460e-01,7.362389999999999768e-01,7.703389999999999960e-01,8.162650000000000183e-01,8.596120000000000427e-01,8.834720000000000351e-01,8.921700000000000186e-01
7.700000000000000000e+01,8.730310000000000015e-01,8.622090000000000032e-01,8.574810000000000487e-01,8.566700000000000426e-01,8.528179999999999650e-01,8.098090000000000011e-01,7.370870000000000477e-01,7.131410000000000249e-01,7.369560000000000555e-01,7.710080000000000267e-01,8.168630000000000058e-01,8.601250000000000284e-01,8.839219999999999855e-01,8.925920000000000520e-01
7.800000000000000000e+01,8.734830000000000094e-01,8.626899999999999569e-01,8.579780000000000184e-01,8.571710000000000163e-01,8.533269999999999467e-01,8.103839999999999932e-01,7.377620000000000289e-01,7.138379999999999725e-01,7.376160000000000494e-01,7.716239999999999766e-01,8.174139999999999739e-01,8.605979999999999741e-01,8.843379999999999574e-01,8.929820000000000535e-01
7.900000000000000000e+01,8.738970000000000349e-01,8.631320000000000103e-01,8.584319999999999729e-01,8.576279999999999459e-01,8.537919999999999954e-01,8.109110000000000484e-01,7.383800000000000363e-01,7.144770000000000287e-01,7.382210000000000161e-01,7.721879999999999855e-01,8.179180000000000339e-01,8.610299999999999621e-01,8.847180000000000044e-01,8.933379999999999654e-01
8.000000000000000000e+01,8.742729999999999668e-01,8.635329999999999950e-01,8.588449999999999696e-01,8.580440000000000289e-01,8.542159999999999753e-01,8.113890000000000269e-01,7.389409999999999590e-01,7.150570000000000537e-01,7.387709999999999555e-01,7.727009999999999712e-01,8.183759999999999923e-01,8.614230000000000498e-01,8.850630000000000441e-01,8.936619999999999564e-01
8.100000000000000000e+01,8.746119999999999450e-01,8.638949999999999685e-01,8.592159999999999798e-01,8.584190000000000431e-01,8.545970000000000510e-01,8.118210000000000148e-01,7.394479999999999942e-01,7.155810000000000226e-01,7.392670000000000075e-01,7.731630000000000447e-01,8.187889999999999890e-01,8.617759999999999865e-01,8.853739999999999943e-01,8.939540000000000264e-01
8.200000000000000000e+01,8.749139999999999695e-01,8.642170000000000130e-01,8.595469999999999500e-01,8.587529999999999886e-01,8.549360000000000293e-01,8.122040000000000370e-01,7.398979999999999446e-01,7.160469999999999891e-01,7.397080000000000322e-01,7.735750000000000126e-01,8.191559999999999953e-01,8.620910000000000517e-01,8.856500000000000483e-01,8.942130000000000356e-01
8.300000000000000000e+01,8.751799999999999580e-01,8.644990000000000174e-01,8.598379999999999912e-01,8.590459999999999763e-01,8.552340000000000497e-01,8.125430000000000152e-01,7.402959999999999541e-01,7.164580000000000393e-01,7.400970000000000049e-01,7.739369999999999861e-01,8.194799999999999862e-01,8.623690000000000522e-01,8.858930000000000415e-01,8.944410000000000416e-01
8.400000000000000000e+01,8.754079999999999639e-01,8.647439999999999571e-01,8.600900000000000212e-01,8.592990000000000350e-01,8.554920000000000302e-01,8.128339999999999455e-01,7.406390000000000473e-01,7.168130000000000335e-01,7.404330000000000078e-01,7.742510000000000225e-01,8.197600000000000442e-01,8.626080000000000414e-01,8.861029999999999740e-01,8.946380000000000443e-01
8.500000000000000000e+01,8.756019999999999914e-01,8.649499999999999966e-01,8.603020000000000111e-01,8.595129999999999715e-01,8.557099999999999707e-01,8.130800000000000249e-01,7.409289999999999488e-01,7.171130000000000004e-01,7.407169999999999588e-01,7.745159999999999823e-01,8.199959999999999471e-01,8.628109999999999946e-01,8.862809999999999855e-01,8.948049999999999615e-01
8.600000000000000000e+01,8.757599999999999829e-01,8.651189999999999714e-01,8.604749999999999899e-01,8.596880000000000077e-01,8.558869999999999534e-01,8.132810000000000317e-01,7.411649999999999627e-01,7.173580000000000512e-01,7.409489999999999688e-01,7.747309999999999475e-01,8.201880000000000281e-01,8.629750000000000476e-01,8.864260000000000472e-01,8.949409999999999865e-01
8.700000000000000000e+01,8.758820000000000494e-01,8.652490000000000459e-01,8.606099999999999861e-01,8.598240000000000327e-01,8.560259999999999536e-01,8.134379999999999944e-01,7.413490000000000357e-01,7.175479999999999636e-01,7.411290000000000378e-01,7.748990000000000045e-01,8.203380000000000116e-01,8.631029999999999536e-01,8.865380000000000482e-01,8.950460000000000083e-01
8.800000000000000000e+01,8.759700000000000264e-01,8.653429999999999733e-01,8.607059999999999711e-01,8.599200000000000177e-01,8.561239999999999961e-01,8.135499999999999954e-01,7.414809999999999457e-01,7.176829999999999599e-01,7.412570000000000547e-01,7.750190000000000135e-01,8.204449999999999799e-01,8.631950000000000456e-01,8.866180000000000172e-01,8.951210000000000555e-01
8.900000000000000000e+01,8.760219999999999674e-01,8.653990000000000293e-01,8.607629999999999448e-01,8.599780000000000202e-01,8.561819999999999986e-01,8.136170000000000346e-01,7.415589999999999682e-01,7.177649999999999864e-01,7.413330000000000197e-01,7.750890000000000279e-01,8.205090000000000439e-01,8.632499999999999618e-01,8.866669999999999829e-01,8.951660000000000172e-01
9.000000000000000000e+01,8.760400000000000409e-01,8.654180000000000206e-01,8.607829999999999648e-01,8.599970000000000114e-01,8.562020000000000186e-01,8.136390000000000011e-01,7.415850000000000497e-01,7.177919999999999856e-01,7.413589999999999902e-01,7.751139999999999697e-01,8.205299999999999816e-01,8.632680000000000353e-01,8.866829999999999989e-01,8.951810000000000045e-01
